group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
routing_lookup,exact_authority,,,,7812130.0,ns,105
routing_lookup,exact_authority,,,,13755570.0,ns,210
routing_lookup,exact_authority,,,,20678418.0,ns,315
routing_lookup,exact_authority,,,,25928823.0,ns,420
routing_lookup,exact_authority,,,,32617672.0,ns,525
routing_lookup,exact_authority,,,,38964026.0,ns,630
routing_lookup,exact_authority,,,,45322003.0,ns,735
routing_lookup,exact_authority,,,,51990020.0,ns,840
routing_lookup,exact_authority,,,,58377623.0,ns,945
routing_lookup,exact_authority,,,,64931057.0,ns,1050
routing_lookup,exact_authority,,,,71294826.0,ns,1155
routing_lookup,exact_authority,,,,78014050.0,ns,1260
routing_lookup,exact_authority,,,,84447903.0,ns,1365
routing_lookup,exact_authority,,,,91054253.0,ns,1470
routing_lookup,exact_authority,,,,97865810.0,ns,1575
routing_lookup,exact_authority,,,,105627149.0,ns,1680
routing_lookup,exact_authority,,,,114150063.0,ns,1785
routing_lookup,exact_authority,,,,149493417.0,ns,1890
routing_lookup,exact_authority,,,,123768508.0,ns,1995
routing_lookup,exact_authority,,,,130148652.0,ns,2100
routing_lookup,exact_authority,,,,136183134.0,ns,2205
routing_lookup,exact_authority,,,,143436020.0,ns,2310
routing_lookup,exact_authority,,,,150395908.0,ns,2415
routing_lookup,exact_authority,,,,156432764.0,ns,2520
routing_lookup,exact_authority,,,,162877449.0,ns,2625
routing_lookup,exact_authority,,,,169632423.0,ns,2730
routing_lookup,exact_authority,,,,176133108.0,ns,2835
routing_lookup,exact_authority,,,,182917789.0,ns,2940
routing_lookup,exact_authority,,,,189030020.0,ns,3045
routing_lookup,exact_authority,,,,195771869.0,ns,3150
routing_lookup,exact_authority,,,,202557884.0,ns,3255
routing_lookup,exact_authority,,,,208405992.0,ns,3360
routing_lookup,exact_authority,,,,215120508.0,ns,3465
routing_lookup,exact_authority,,,,223347384.0,ns,3570
routing_lookup,exact_authority,,,,227939880.0,ns,3675
routing_lookup,exact_authority,,,,236218214.0,ns,3780
routing_lookup,exact_authority,,,,241210246.0,ns,3885
routing_lookup,exact_authority,,,,258067202.0,ns,3990
routing_lookup,exact_authority,,,,305821348.0,ns,4095
routing_lookup,exact_authority,,,,289855258.0,ns,4200
routing_lookup,exact_authority,,,,287991819.0,ns,4305
routing_lookup,exact_authority,,,,289839300.0,ns,4410
routing_lookup,exact_authority,,,,286597291.0,ns,4515
routing_lookup,exact_authority,,,,285882215.0,ns,4620
routing_lookup,exact_authority,,,,297926969.0,ns,4725
routing_lookup,exact_authority,,,,305094272.0,ns,4830
routing_lookup,exact_authority,,,,316393034.0,ns,4935
routing_lookup,exact_authority,,,,333621986.0,ns,5040
routing_lookup,exact_authority,,,,336994202.0,ns,5145
routing_lookup,exact_authority,,,,381020552.0,ns,5250
routing_lookup,exact_authority,,,,367890850.0,ns,5355
routing_lookup,exact_authority,,,,417722893.0,ns,5460
routing_lookup,exact_authority,,,,368469219.0,ns,5565
routing_lookup,exact_authority,,,,369861914.0,ns,5670
routing_lookup,exact_authority,,,,379069905.0,ns,5775
routing_lookup,exact_authority,,,,380807721.0,ns,5880
routing_lookup,exact_authority,,,,388144314.0,ns,5985
routing_lookup,exact_authority,,,,396852393.0,ns,6090
routing_lookup,exact_authority,,,,391937485.0,ns,6195
routing_lookup,exact_authority,,,,391117909.0,ns,6300
